sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
4f324ffd71ec,NwDNAPP695A,ERX3237888,ERX3237828,PRJEB31590
689f94589adc,NwDNAPP695B,ERX3237889,ERX3237829,PRJEB31590
eb742419fea8,NwDNAPP695C,ERX3237890,ERX3237830,PRJEB31590
0c675882f106,SsDNAB721ADN,ERX3237807,ERX3237747,PRJEB31590
d66efae4fe46,SsDNAB721BDN,ERX3237808,ERX3237748,PRJEB31590
6373f6cef92d,SsDNAB721CDN,ERX3237809,ERX3237749,PRJEB31590
7e71a78db9e5,SsDNAB721G,ERX3237810,ERX3237750,PRJEB31590
8760cba32740,SsDNAB721H,ERX3237811,ERX3237751,PRJEB31590
cfcd00bf211d,SsDNAB721I,ERX3237812,ERX3237752,PRJEB31590
121b5e599011,SsDNAD693A,ERX3237813,ERX3237753,PRJEB31590
2b004daf7e5e,SsDNAD693AD,ERX3237814,ERX3237754,PRJEB31590
61817b23a259,SsDNAD693B,ERX3237815,ERX3237755,PRJEB31590
6a1bd5fe1675,SsDNAD693BD,ERX3237816,ERX3237756,PRJEB31590
581102353d52,SsDNAD693C,ERX3237817,ERX3237757,PRJEB31590
930a8281ee06,SsDNAD693CD,ERX3237818,ERX3237758,PRJEB31590
86e95708a702,SsDNAQ692A,ERX3237819,ERX3237759,PRJEB31590
30f3cac46334,SsDNAQ692ADN,ERX3237820,ERX3237760,PRJEB31590
8af42e52e612,SsDNAQ692B,ERX3237821,ERX3237761,PRJEB31590
511b1a932a0d,SsDNAQ692BDN,ERX3237822,ERX3237762,PRJEB31590
deb8170d4c48,SsDNAQ692C,ERX3237823,ERX3237763,PRJEB31590
5bbcecdaf236,SwDNAB694A,ERX3237897,ERX3237837,PRJEB31590
9e16cd50044e,SwDNAB694B,ERX3237898,ERX3237838,PRJEB31590
51f6ce9104e9,SwDNAB694C,ERX3237899,ERX3237839,PRJEB31590
9e69892b0edc,SwDNAD693A,ERX3237900,ERX3237840,PRJEB31590
f955ef58d954,SwDNAD693B,ERX3237901,ERX3237841,PRJEB31590
f824bbb0ef61,SwDNAD693C,ERX3237902,ERX3237842,PRJEB31590
4134c0441fae,SwDNAQ692A,ERX3237903,ERX3237843,PRJEB31590
1033a0a5efda,SwDNAQ692B,ERX3237904,ERX3237844,PRJEB31590
57f47f532a1b,SwDNAQ692C,ERX3237905,ERX3237845,PRJEB31590
725205450466,DOB001,ERX3345531,ERX3345476,PRJEB32265
2aad9a5bd756,DOB002,ERX3345532,ERX3345477,PRJEB32265
d08c273f7a91,DOB003,ERX3345533,ERX3345478,PRJEB32265
48fb358205c8,DOB006,ERX3345534,ERX3345479,PRJEB32265
ca6127e503bd,DOB007,ERX3345535,ERX3345480,PRJEB32265
45cca018565d,DOB008,ERX3345536,ERX3345481,PRJEB32265
326d2d90a433,IK1,ERX3345603,ERX3345594,PRJEB32265
f88950ac4c28,IK10,ERX3345608,ERX3345599,PRJEB32265
7413eec15550,IK17,ERX3345609,ERX3345600,PRJEB32265
a5a133aaa9ef,IK2,ERX3345604,ERX3345595,PRJEB32265
b330d27bef91,IK23,ERX3345610,ERX3345601,PRJEB32265
6e231c9345de,IK24,ERX3345611,ERX3345602,PRJEB32265
cb199cbdded6,IK6,ERX3345605,ERX3345596,PRJEB32265
fd3354b91d17,IK7,ERX3345606,ERX3345597,PRJEB32265
3e8c04ad68ce,IK8,ERX3345607,ERX3345598,PRJEB32265
5d4535f4d7fd,PID001,ERX3345537,ERX3345482,PRJEB32265
c4ca0a86b40b,PID002,ERX3345538,ERX3345483,PRJEB32265
76a19293fd2b,PID003,ERX3345539,ERX3345484,PRJEB32265
c6c8816db1d8,PID004,ERX3345540,ERX3345485,PRJEB32265
59eb49cd0612,PID005,ERX3345541,ERX3345486,PRJEB32265
e1012f117427,PID006,ERX3345542,ERX3345487,PRJEB32265
3d4555d10568,PID007,ERX3345543,ERX3345488,PRJEB32265
0393238edefa,PID008,ERX3345544,ERX3345489,PRJEB32265
45c374d00e06,PID009,ERX3345545,ERX3345490,PRJEB32265
0a47315b305c,PID010,ERX3345546,ERX3345491,PRJEB32265
636d663c6fff,PID011,ERX3345547,ERX3345492,PRJEB32265
c3accce2e11d,PID012,ERX3345548,ERX3345493,PRJEB32265
154835072da6,PID013,ERX3345549,ERX3345494,PRJEB32265
e0cb21e2f26c,PID015,ERX3345550,ERX3345495,PRJEB32265
e905f63d270f,PID016,ERX3345551,ERX3345496,PRJEB32265
6a531039f01a,PID017,ERX3345552,ERX3345497,PRJEB32265
